text,date,sentiment,Detected Language
HELLO????? DENISE JULIA FOR FLAIR 2025!!!!!!!!!!!!!,1/20/24,,English
Dionela for FLAIR 2025 ??????,1/22/24,,English
SB19 FOR FLAIR PLEASE I AM BEGGING ??,1/24/24,,English
"CUP OF JOE, SUGARCANE, EARL DALANGIN FOR FLAIR PLS PLS ",1/25/24,,English
LEGEND FOR FLAIR TO HEAR MAHARANI LIVE + LPDC AS BACKGROUND DANCERS/PERFORMERS ?? + DAGUNDONG AAAACK !! ?!! ???,1/26/24,,English
ALISSON SHORE FOR FLAIR CONCERT 2025 PLEASE,1/28/24,,English
Sugarfree for flair pls,1/29/24,,English
"DIONELA IN FLAIR PRETTT PLEAAASE ?? I AM SO CRAZY ABOUT YOUR MARILAG!! ??
 ",2/1/24,,English
"Eraserheads, Mayonnaise, Silent Sanctuary, Rivermaya, Denise Julia, Niki, Dionela for flair '25 plz ??",2/2/24,,English
LIL UZI VERT HOPEFULLY FOR FLAIR 2025 HIS NEW ALBUM IS GOOD SHIT,2/4/24,,English
"CBAASG, INVITE ZILD, BLASTER, UNIQUE, AND BADJAO TO FLAIR AND MY LIFE IS YOURS",2/5/24,,English
NIKI Zenfaya and Laufey for Flair 2025,2/6/24,,English
TJ MONTERDE FOR FLAIR PLEASEEEE!!!,2/7/24,,English
"GHR, NIO, Nazty Kidd, Sica, and Waiian for flair plz",2/9/24,,English
DENISE JULIA FOR SOLFEST OR FLAIR PLEASE LOOK LIKE YOU HAVE PITY,2/11/24,,English
billie eilish for flair 2025??,2/12/24,,English
Dionela 4 flair to feel treated right ,2/14/24,,English
ALYSON FOR FLAIR 2025 PLSSS,2/19/24,,English
OLIVIA RODRIGO FOR FLAIR 2025 PLEASE,2/25/24,,English
DENISE JULIA FOR SOLFEST OR FLAIR PLEASE LOOK LIKE YOU HAVE PITY,3/4/24,,English
