text,date,sentiment,Detected Language,Predicted Sentiment,Confidence
kendrick lamar for flair 2025 pls ,1/18/24,,Tagalog,neutral,0.5867692232131958
"Khianna with a K, Angel & Maxie of DRPH S3 sa FLAIR pls pls plss guyss sige naa",1/19/24,,Tagalog,neutral,0.5726479291915894
"FLAIR 2025 LINEUP LEAK
SABRINA HILARIO
JAYBEE SUCAL
LIL UZI VERT
JOJI
TROY
JEIKO
KORBADET",1/21/24,,Tagalog,positive,0.9664362668991089
JUST WANNA EXPRESS MY GRATITUDE AND APPRECIATION SA CEATSG GRABE HINDI NIYO ALAM KUNG GAANO KO HINIHILING MAG CONCERT DITO SI ZILD AAAA!!! WORTH IT NA ABANGAN SYA KAHIT LAST ACT. ALSO SA CBAASG PAKIBALIK SI ZILD FOR FLAIR!!!!!,1/27/24,,Tagalog,positive,0.9975480437278748
nameless kids for flair pls parang awa na lang,1/31/24,,Tagalog,positive,0.9879693984985352
IBALIK SI ZILD FOR FLAIR!!!,2/13/24,,Tagalog,positive,0.9692888855934143
SPONGECOLA AND DEC AVENUE SA FLAIR 2025 FLS FLS FLS ,2/17/24,,Tagalog,positive,0.7487740516662598
"UDD, EBE DANCEL, DECEMBER AVENUE, RICO BLANCO SA FLAIR PLS PLS PLS PLS",2/18/24,,Tagalog,positive,0.8374427556991577
Sabihin niyo na kelan yung flair kasi may balak ako umamin sa crush ko dun,2/20/24,,Tagalog,positive,0.8231635093688965
"PLS COJ SA FLAIR !!!!!!
Stream Multo??",2/21/24,,Tagalog,neutral,0.48636165261268616
"Hindi kinulang ang benta sa flair, sold-out nga ticket eh. Lalo naman hindi sila kulang sa budget, sila pa nga ata ang may pinakamalaking budget sa lahat ng colleges dahil marami cbaa students. Sadyang di lang pinlano ng cbaasg magpa-awarding. Ewan, wala sila masyado ganap ngayong taon. Inuna pa kasi siraan nung eleksyon. Ni wala nga sa luntiang parangal ang pa-flair nila hahahahahah. Back to back best college pa yan dati, ngayon ngangers na.",2/22/24,,Tagalog,positive,0.984792947769165
Ishowspeed sa flair 2025 ,2/24/24,,Tagalog,positive,0.7924848198890686
guys please sa flair or kahit anong concert kunin niyo si Cash G hahahahahahaha partner niyo na si flow g parang awa niyo na ????????????????????????????????,2/27/24,,Tagalog,positive,0.928842306137085
CEAT SG!! MAY NAKAPASOK NANAMNG WALANG NGA TICKET!!! SHS SILA AND GINAWA RIN NILA YUN NUNG FLAIR BC I SAW THEM NEAR THE ENTRANCE SA OVAL!! STUDENT GOVERNMENTS DO BETTER!!!!,2/28/24,,Tagalog,positive,0.7265547513961792
"SOLID NG SOLFEST 2024 kagabi!!!! 
GRABE SOBRANG GANDA NG SET UP, kitang kita lahat. Sana ganito din sa flair next year. 
Nakakainlove lahat ng artits walang tapon!!! 
ANG TINDI NG NAKAISP NG PROJECT NITO!!!
Gawin mo nang YEARLY.  yung patindi ng patindi..",3/10/24,,Tagalog,positive,0.9907695651054382
"Kita mo talaga sa ceatsg na walang accountability e, nagturn off comments, nagdelete pa ng comments, walang public statement/apology pati masyadong reply sa mga concerns. Andami ninyong taong na-agrabyado tapos wala lang? 
Kaya mas maraming natuwa sa cbaasg bukod sa business students sila at alam nila how to handle big events like this, they know how to handle critism. Nabash din naman yung flaire last time pero after ng concert puro thank you cbaasg na yung mga comments. Sa ceat puro padin problema yung comments pano imbis na iaddress tinurn off comments o kaya dinelete. Hindi naman magiging possible ung event nyo kung walang attendees, kailangan nyo pa din kami kung gusto nyo maging successful yung solfest nyo.
Accept criticism and be accountable kung gusto nyong magkaroon nang marami pang solfest kung pinagpapatuloy nyo nyan for sure maraming madadala at hindi na aattend kahit maganda pa pasabog at line up nyo.",3/14/24,,Tagalog,neutral,0.6415186524391174
"Daming reklamo about solfest, yes may late updates sila pero ewan if na-immune kaming mga unattend sa flair na last minute yung guidelines na binaba.",3/26/24,,Tagalog,neutral,0.5910741090774536
