text,date,sentiment
"Lf ka date para sa flair 
Requirements:
Nag gguitar 
Vball player (pass na me sa bball player yack redflag)
Grd12
F1 fan (yung matatanggap ako kahit lando fan ako??)
May lahing Japanese
Obsessed sa mukha niya
For the kalog ang personality pero aesthetic sa ig
NIKI lover????
'Yan lang naman guys sana maka find",1/17/24,
kendrick lamar for flair 2025 pls ,1/18/24,
"Khianna with a K, Angel & Maxie of DRPH S3 sa FLAIR pls pls plss guyss sige naa",1/19/24,
HELLO????? DENISE JULIA FOR FLAIR 2025!!!!!!!!!!!!!,1/20/24,
"FLAIR 2025 LINEUP LEAK
SABRINA HILARIO
JAYBEE SUCAL
LIL UZI VERT
JOJI
TROY
JEIKO
KORBADET",1/21/24,
Dionela for FLAIR 2025 ??????,1/22/24,
ALAMAT FOR FLAIR 2025!!! GUSTO KO MARINIH MAHARANI LIVE!!!6868,1/23/24,
SB19 FOR FLAIR PLEASE I AM BEGGING ??,1/24/24,
"CUP OF JOE, SUGARCANE, EARL DALANGIN FOR FLAIR PLS PLS ",1/25/24,
LEGEND FOR FLAIR TO HEAR MAHARANI LIVE + LPDC AS BACKGROUND DANCERS/PERFORMERS ?? + DAGUNDONG AAAACK !! ?!! ???,1/26/24,
JUST WANNA EXPRESS MY GRATITUDE AND APPRECIATION SA CEATSG GRABE HINDI NIYO ALAM KUNG GAANO KO HINIHILING MAG CONCERT DITO SI ZILD AAAA!!! WORTH IT NA ABANGAN SYA KAHIT LAST ACT. ALSO SA CBAASG PAKIBALIK SI ZILD FOR FLAIR!!!!!,1/27/24,
ALISSON SHORE FOR FLAIR CONCERT 2025 PLEASE,1/28/24,
Sugarfree for flair pls,1/29/24,
"AESPA FOR FLAIR PLEASE!!!!!!!!!!!!!!!!!!! FINE, FIX IT SO THAT YOU CAN JUST SUGGEST IT'S EVEN UGLY",1/30/24,
nameless kids for flair pls parang awa na lang,1/31/24,
"DIONELA IN FLAIR PRETTT PLEAAASE ?? I AM SO CRAZY ABOUT YOUR MARILAG!! ??
 ",2/1/24,
"Eraserheads, Mayonnaise, Silent Sanctuary, Rivermaya, Denise Julia, Niki, Dionela for flair '25 plz ??",2/2/24,
"wow, zild is so good, legit I don't listen to him but he's one of the best performers I've watched in ud as someone who watched solfest, flair, juanderland, and kts last year",2/3/24,
LIL UZI VERT HOPEFULLY FOR FLAIR 2025 HIS NEW ALBUM IS GOOD SHIT,2/4/24,
"CBAASG, INVITE ZILD, BLASTER, UNIQUE, AND BADJAO TO FLAIR AND MY LIFE IS YOURS",2/5/24,
NIKI Zenfaya and Laufey for Flair 2025,2/6/24,
TJ MONTERDE FOR FLAIR PLEASEEEE!!!,2/7/24,
JOHN CENA FOR FLAIR 2025!,2/8/24,
"GHR, NIO, Nazty Kidd, Sica, and Waiian for flair plz",2/9/24,
"Weird mga nag haha react dito lalo for flair lineup lang naman talaga match, unlike sa SOLFEST",2/10/24,
DENISE JULIA FOR SOLFEST OR FLAIR PLEASE LOOK LIKE YOU HAVE PITY,2/11/24,
billie eilish for flair 2025??,2/12/24,
IBALIK SI ZILD FOR FLAIR!!!,2/13/24,
Dionela 4 flair to feel treated right ,2/14/24,
Bugoy na Koykoy for Flair this year?!?!?!?!?,2/15/24,
LEGIT TONEEJAY NG CICS HAHAHAHAHA THANK YOU CICSSG CICS IS THE BEST AKALA KO MAGHIHINTAY PA KO FLAIR EEH,2/16/24,
SPONGECOLA AND DEC AVENUE SA FLAIR 2025 FLS FLS FLS ,2/17/24,
"UDD, EBE DANCEL, DECEMBER AVENUE, RICO BLANCO SA FLAIR PLS PLS PLS PLS",2/18/24,
ALYSON FOR FLAIR 2025 PLSSS,2/19/24,
Sabihin niyo na kelan yung flair kasi may balak ako umamin sa crush ko dun,2/20/24,
"PLS COJ SA FLAIR !!!!!!
Stream Multo??",2/21/24,
"Hindi kinulang ang benta sa flair, sold-out nga ticket eh. Lalo naman hindi sila kulang sa budget, sila pa nga ata ang may pinakamalaking budget sa lahat ng colleges dahil marami cbaa students. Sadyang di lang pinlano ng cbaasg magpa-awarding. Ewan, wala sila masyado ganap ngayong taon. Inuna pa kasi siraan nung eleksyon. Ni wala nga sa luntiang parangal ang pa-flair nila hahahahahah. Back to back best college pa yan dati, ngayon ngangers na.",2/22/24,
michael jackson po sana sa flair,2/23/24,
Ishowspeed sa flair 2025 ,2/24/24,
OLIVIA RODRIGO FOR FLAIR 2025 PLEASE,2/25/24,
"flair 2024 >>>> solfest
comclusion: wag na talaga mag concert ibang colleges. IBIGAY. NIYO. NA. LAGI. SA. CBAA. sila mas may experience, sila mas makaka execute ng maayos (somehow)
cscs graduating gae!",2/26/24,
guys please sa flair or kahit anong concert kunin niyo si Cash G hahahahahahaha partner niyo na si flow g parang awa niyo na ????????????????????????????????,2/27/24,
CEAT SG!! MAY NAKAPASOK NANAMNG WALANG NGA TICKET!!! SHS SILA AND GINAWA RIN NILA YUN NUNG FLAIR BC I SAW THEM NEAR THE ENTRANCE SA OVAL!! STUDENT GOVERNMENTS DO BETTER!!!!,2/28/24,
DENISE JULIA FOR SOLFEST OR FLAIR PLEASE LOOK LIKE YOU HAVE PITY,3/4/24,
"SOLID NG SOLFEST 2024 kagabi!!!! 
GRABE SOBRANG GANDA NG SET UP, kitang kita lahat. Sana ganito din sa flair next year. 
Nakakainlove lahat ng artits walang tapon!!! 
ANG TINDI NG NAKAISP NG PROJECT NITO!!!
Gawin mo nang YEARLY.  yung patindi ng patindi..",3/10/24,
"wow, zild is so good, legit I don't listen to him but he's one of the best performers I've watched in ud as someone who watched solfest, flair, juanderland, and kts last year",3/11/24,
"Kita mo talaga sa ceatsg na walang accountability e, nagturn off comments, nagdelete pa ng comments, walang public statement/apology pati masyadong reply sa mga concerns. Andami ninyong taong na-agrabyado tapos wala lang? 
Kaya mas maraming natuwa sa cbaasg bukod sa business students sila at alam nila how to handle big events like this, they know how to handle critism. Nabash din naman yung flaire last time pero after ng concert puro thank you cbaasg na yung mga comments. Sa ceat puro padin problema yung comments pano imbis na iaddress tinurn off comments o kaya dinelete. Hindi naman magiging possible ung event nyo kung walang attendees, kailangan nyo pa din kami kung gusto nyo maging successful yung solfest nyo.
Accept criticism and be accountable kung gusto nyong magkaroon nang marami pang solfest kung pinagpapatuloy nyo nyan for sure maraming madadala at hindi na aattend kahit maganda pa pasabog at line up nyo.",3/14/24,
"Weird mga nag haha react dito lalo for flair lineup lang naman talaga match, unlike sa SOLFEST",3/15/24,
"flair 2024 >>>> solfest
comclusion: wag na talaga mag concert ibang colleges. IBIGAY. NIYO. NA. LAGI. SA. CBAA. sila mas may experience, sila mas makaka execute ng maayos (somehow)
cscs graduating gae!",3/17/24,
Huh? They cant match flair daw but tbh mas maayos ang d-day ng solfest kesa sa flair? lalo na yung entry sa venue,3/25/24,
"Daming reklamo about solfest, yes may late updates sila pero ewan if na-immune kaming mga unattend sa flair na last minute yung guidelines na binaba.",3/26/24,
Not from cbaa and ceat pero to be fair mas feel ko yung concert vibe sa solfest kesa sa flair tho parehas maganda ang line-up its just that parang concert ni mayor ang flair HAHA,3/31/24,
