text,date,sentiment
"Sister girl who hosted the kaleidoscope has a very soft voice, it hurts my ears whenever she speaks",1/1/24,
"Hi fellow Lasallians??
See you sa students week because we have ?ANIK-ANIKS? for you!!
KitkatCrochets x Berrycrochet x Gantsilyerista 
We will be at the following venues:
NOV 11-16 STUDENTS WEEK JFH KUBO
NOV 14 FALCO-PALOOZA TRACK OVAL 
NOV 15 KALEIDOSCOPE TRACK OVAL",1/2/24,
"No one mentioning DLSUD Chorale, so I will! DLSUD Chorale are so freaking amazingg noong kaleidoscope!!",1/3/24,
Stray dogs spotted today at kaleidoscope ,1/4/24,
"ranking college sg concerts for students week  (as a ?? na tatlo inattendan – pray for my wallet) and i hope walang ma-offend this is just a random persons expi
#1: kaleidoscope (cicssg) - sobra sobrang sobrang sobrang sulit lalo na for a student gov na bagong college lang (or bagong hiwalay?) nakakagulat talaga yung amount of booths na nagbebenta ng mga anik-anik whatever doon super naubos ang money + the lineup and the vibes were so good! 9/10 din yung mga inflatables nila! would be more fun if mas marami variety but goods na din !! overall i rate it a 10/10
#2: clachella (clacsg) - despite yung nakakaurat na ulan nagawa nila ang role nilang pagheheal ng inner child ng mga attendees nila (s/o sa mga chikiting sa naglaro sa ulan sana all !! ang cucute nio), andami din inflatables na natry tapos iba iba pa (pinaka bet ko yung nagtatalbugan kami ang laughtrip lang). na-discover ko din yung ajaa dito and OFC yung performance ng over october ay super solid din. 9/10 (9.5/10 kung di umulan) 
#3 Reverie/Chroma Blast (ceatsg): ngl i expected sm more from ceat given na isa sila sa pinaka-malaki ang budget. ang solid solid ng lineup though, i'll give them that yung performance ni zild ay pinaka-worth it na part ng concert. pero, kulang na kulang kami sa booths at inflatables. masaya din naman yung basaan concept pero nung bandang palubog na araw na medyo sinisipon na din dahil sa lamig HAHAHAHA so personally, it's a 7.5/10 for me (buhat ni zild)
- ??",1/5/24,
makakabili parin po ba ako ng merch ng cics kahit di ako bumili ng tix sa kaleidoscope? huhu no money na kasi pero gusto ko bumili ng lanyard and keyring nyo po :((,1/6/24,
HUMAYYY LEGIT PO BA TONEEJAY SA KALEIDOSCOPE NG CICS OR HUMOR NIYO LANG YAN HUHU PLEASE ????????????,1/7/24,
hello nawala ko id ko sa kaleidoscope huhu if any1 saw it pabalik nlng po sa swafo mendaros last name ty ty,1/8/24,
"Freedom wall peeps, help a girlie find the orange wigged cosplayer (sorry idk who you were cosplaying ??) kaninang kaleidoscope????",1/9/24,
"hello late na pero nakaka disappoint talaga yung mga nasa registration/claiming ng cisc sg para sa tix ng kaleidoscope, hindi approachable at ang susungit lalo na yung nasa claiming table
nakakaloka di na nga clear yung instructions kase ang hina ng boses nila tapos sila pa magsusungit",1/10/24,
"shout out po sa mga nag iwan ng kalat nila sa kaleidoscope kanina, sana naman lininis niyo kalat niyo after ",1/11/24,
"helping the one I'm courting, maybe someone found/picked up a crocheted boob in the oval during the kaleidoscope please return it",1/12/24,
"hello everyone!! just want to ask about your experience in kaleidoscope was it fun or was it just meh, thank you!",1/13/24,
"Ano po gagawin kung hindi na-claim physical ticket for kaleidoscope? HUHU, late ko na po nakita yung schedule of claiming sayang din 299 if ever, can we still claim it as of Thursday",1/14/24,
magbebenta po ba cicssg ng kalei merch onsite or p.o lang?,1/15/24,
"hi doon sa press na may pink hair during kaleidoscope concert. you're really cute, are you interested in dating a girl?",1/16/24,
"Lf ka date para sa flair 
Requirements:
Nag gguitar 
Vball player (pass na me sa bball player yack redflag)
Grd12
F1 fan (yung matatanggap ako kahit lando fan ako??)
May lahing Japanese
Obsessed sa mukha niya
For the kalog ang personality pero aesthetic sa ig
NIKI lover????
'Yan lang naman guys sana maka find",1/17/24,
kendrick lamar for flair 2025 pls ,1/18/24,
"Khianna with a K, Angel & Maxie of DRPH S3 sa FLAIR pls pls plss guyss sige naa",1/19/24,
HELLO????? DENISE JULIA FOR FLAIR 2025!!!!!!!!!!!!!,1/20/24,
"FLAIR 2025 LINEUP LEAK
SABRINA HILARIO
JAYBEE SUCAL
LIL UZI VERT
JOJI
TROY
JEIKO
KORBADET",1/21/24,
Dionela for FLAIR 2025 ??????,1/22/24,
ALAMAT FOR FLAIR 2025!!! GUSTO KO MARINIH MAHARANI LIVE!!!6868,1/23/24,
SB19 FOR FLAIR PLEASE I AM BEGGING ??,1/24/24,
"CUP OF JOE, SUGARCANE, EARL DALANGIN FOR FLAIR PLS PLS ",1/25/24,
LEGEND FOR FLAIR TO HEAR MAHARANI LIVE + LPDC AS BACKGROUND DANCERS/PERFORMERS ?? + DAGUNDONG AAAACK !! ?!! ???,1/26/24,
JUST WANNA EXPRESS MY GRATITUDE AND APPRECIATION SA CEATSG GRABE HINDI NIYO ALAM KUNG GAANO KO HINIHILING MAG CONCERT DITO SI ZILD AAAA!!! WORTH IT NA ABANGAN SYA KAHIT LAST ACT. ALSO SA CBAASG PAKIBALIK SI ZILD FOR FLAIR!!!!!,1/27/24,
ALISSON SHORE FOR FLAIR CONCERT 2025 PLEASE,1/28/24,
Sugarfree for flair pls,1/29/24,
"AESPA FOR FLAIR PLEASE!!!!!!!!!!!!!!!!!!! FINE, FIX IT SO THAT YOU CAN JUST SUGGEST IT'S EVEN UGLY",1/30/24,
nameless kids for flair pls parang awa na lang,1/31/24,
